utilidad_real,inversion,compras_cliente,clusters,cluster_names
0.7118689352118551,0.7933669683009843,2.747086584300638,4,Comprador Bronce
-0.33675775911089173,-0.3995099601463724,-0.06221054243350671,1,Comprador Sin nivel
-0.2632340159189836,-0.23882087822396492,-0.317601190318429,1,Comprador Sin nivel
0.5258801984879312,0.4291604302785893,1.2147426969911046,4,Comprador Bronce
-0.279038526075011,-0.3050580600682126,-0.317601190318429,1,Comprador Sin nivel
-0.1342054519851536,-0.030275195208535468,-0.317601190318429,1,Comprador Sin nivel
-0.3300831380073141,-0.39096436595363765,-0.317601190318429,1,Comprador Sin nivel
-0.3079864563330862,-0.3534900515315539,-0.317601190318429,1,Comprador Sin nivel
0.6296799354217932,0.9496504081417473,1.2147426969911046,4,Comprador Bronce
-0.3314596645684237,-0.3884985083041505,-0.317601190318429,1,Comprador Sin nivel
-0.3374000408573268,-0.3991169795614298,-0.317601190318429,1,Comprador Sin nivel
0.19189850745481393,0.5152560093121457,-0.317601190318429,1,Comprador Sin nivel
-0.07172428369195388,0.08723703767477928,2.2363052885307937,4,Comprador Bronce
-0.13124000796723825,0.20164172386920376,-0.317601190318429,1,Comprador Sin nivel
-0.29258629173106443,-0.3338339466527153,-0.317601190318429,1,Comprador Sin nivel
-0.13748692781693986,-0.11579269513172426,0.19318010545141556,1,Comprador Sin nivel
-0.3144764214345638,-0.38933803200604905,-0.06221054243350671,1,Comprador Sin nivel
-0.3374000408573268,-0.40103829659483503,-0.317601190318429,1,Comprador Sin nivel
0.9207423165343833,-0.11405067460574514,-0.317601190318429,1,Comprador Sin nivel
2.971401959777245,0.6909297933048756,0.70396140122126,4,Comprador Bronce
-0.29580207965696526,-0.32027066823578026,-0.317601190318429,1,Comprador Sin nivel
-0.2705662459470362,-0.3312775209173934,-0.317601190318429,1,Comprador Sin nivel
-0.19226991145974318,-0.16005820086507846,-0.317601190318429,1,Comprador Sin nivel
-0.20333949138642674,-0.2792703542657225,-0.06221054243350671,1,Comprador Sin nivel
-0.1005420059232518,0.08560652910448424,-0.06221054243350671,1,Comprador Sin nivel
-0.31610548150052176,-0.35974774021220357,-0.317601190318429,1,Comprador Sin nivel
-0.2718896382909407,-0.27783626523158184,-0.317601190318429,1,Comprador Sin nivel
-0.24727973733753744,-0.2320754662498313,-0.317601190318429,1,Comprador Sin nivel
-0.291741399288254,-0.36384792727310683,-0.317601190318429,1,Comprador Sin nivel
-0.3243500435547605,-0.3852313353639764,-0.317601190318429,1,Comprador Sin nivel
-0.08907304352878496,-0.21328874423869,-0.317601190318429,1,Comprador Sin nivel
-0.3275906469117736,-0.3978684135906163,-0.317601190318429,1,Comprador Sin nivel
3.167859232089001,6.1951758106664006,-0.06221054243350671,0,Comprador Plata
-0.2587205269190356,-0.30691116801197355,-0.317601190318429,1,Comprador Sin nivel
-0.2007691966156931,-0.17780211627541231,-0.317601190318429,1,Comprador Sin nivel
-0.2700108182094941,-0.3479994320841349,-0.06221054243350671,1,Comprador Sin nivel
-0.18111026611543452,-0.07134746835304162,-0.317601190318429,1,Comprador Sin nivel
-0.2378135262069544,-0.2411987150150313,-0.317601190318429,1,Comprador Sin nivel
-0.11120519667219099,-0.020772126533365676,0.9593520491061823,4,Comprador Bronce
-0.3241894731181517,-0.3961235628119548,-0.317601190318429,1,Comprador Sin nivel
-0.3329532498972836,-0.3938490359042991,-0.317601190318429,1,Comprador Sin nivel
-0.12091459902767418,-0.32675477713101697,-0.317601190318429,1,Comprador Sin nivel
-0.1977154388576429,-0.1753666838422603,-0.06221054243350671,1,Comprador Sin nivel
-0.29676112308289215,-0.33243297157495794,-0.317601190318429,1,Comprador Sin nivel
-0.2611509794367954,-0.31110701761353987,-0.317601190318429,1,Comprador Sin nivel
-0.152181312363504,-0.10930674657224404,0.9593520491061823,4,Comprador Bronce
-0.31492017973210074,-0.3646695496267896,-0.317601190318429,1,Comprador Sin nivel
-0.23896306455994892,-0.2136578799447839,-0.317601190318429,1,Comprador Sin nivel
0.9857368500798827,0.9865107700007147,0.19318010545141556,4,Comprador Bronce
-0.2883622674363848,-0.3395890532132988,-0.317601190318429,1,Comprador Sin nivel
-0.26822790247064016,-0.2931511162772989,-0.317601190318429,1,Comprador Sin nivel
-0.29882197165020347,-0.33220881556251675,-0.317601190318429,1,Comprador Sin nivel
-0.2580118274010942,-0.23907354903218064,-0.317601190318429,1,Comprador Sin nivel
-0.1013614990424532,-0.3247629868058215,1.2147426969911046,4,Comprador Bronce
-0.31679739410918123,-0.38143455139061977,-0.317601190318429,1,Comprador Sin nivel
-0.3271293718393339,-0.38362941234577297,-0.317601190318429,1,Comprador Sin nivel
-0.3289044050294816,-0.3845648108572858,-0.317601190318429,1,Comprador Sin nivel
-0.2469842877341773,-0.3026091839348195,-0.317601190318429,1,Comprador Sin nivel
-0.09712973817219153,0.06464511168855135,0.19318010545141556,1,Comprador Sin nivel
-0.09097767165858842,0.07489662653430205,0.44857075333633784,1,Comprador Sin nivel
-0.281609112791993,-0.3666153483458971,-0.317601190318429,1,Comprador Sin nivel
-0.32369316449590646,-0.37450467769791473,-0.317601190318429,1,Comprador Sin nivel
-0.30441011479043656,-0.35122584938568335,-0.317601190318429,1,Comprador Sin nivel
-0.23748888197875634,-0.23560075823463467,-0.317601190318429,1,Comprador Sin nivel
-0.2884545224508727,-0.3015708349819867,-0.06221054243350671,1,Comprador Sin nivel
-0.07434041402368313,0.030036781888920245,-0.317601190318429,1,Comprador Sin nivel
-0.28853670531979153,-0.33211753991351134,-0.317601190318429,1,Comprador Sin nivel
