creado,fecha,proyecto,vendedor,tipo_de_cliente,cliente,cantidad,articulo,costo,impresión,precio,total,mermas,paqueteria_o_gasto_extra,utilidad_real
2018-12-17 18:05:17,2018-12-17,PG1812140103,NORMA MARTINEZ,RECURRENTE,FORMAS IMPRESAS,300.0,AGENDAS DE BOLSILLO,38.5,0.0,48.51,14553.0,0.0,0.0,3003.0
2018-12-17 18:05:17,2018-12-17,PG1812140103,NORMA MARTINEZ,RECURRENTE,FORMAS IMPRESAS,150.0,POWER BANK,53.0,0.0,66.25,9937.5,0.0,0.0,1987.5
2018-12-18 12:41:12,2018-12-18,PG1812180103,NORMA MARTINEZ,NUEVO,VICTOR AVILA,555.0,TERMOS TOWER,97.5,13.0,138.13,76662.15,2.0,0.0,15139.65
2018-12-19 14:38:17,2018-12-19,PG1812140402,NORMA MARTINEZ,NUEVO,PROSUMEX,130.0,MOCHILAS OSMAN,206.7,0.0,248.04,32245.2,0.0,0.0,5374.2
2018-12-19 18:26:51,2018-12-28,PG1812191001,NORMA MARTINEZ,RECURRENTE,PROSUMEX,130.0,MOCHILAS OSMAN,206.7,0.0,248.04,32245.2,0.0,0.0,5374.2
2018-12-20 11:10:15,2018-12-21,PG1812190402,NORMA MARTINEZ,RECURRENTE,FORMAS IMPRESAS,200.0,ANTIESTRES CUBO,9.98,0.0,13.97,2794.0,0.0,0.0,798.0
2018-12-21 13:39:04,2018-12-21,PG1812210402,NORMA MARTINEZ,RECURRENTE,FORMAS IMPRESAS,300.0,AGENDA AZUL,38.5,0.0,48.51,14553.0,0.0,0.0,3003.0
2019-01-04 14:11:16,2019-01-04,PG1901030501,NORMA MARTINEZ,NUEVO,PROVEEDORA ARTERIAN,300.0,SOPORTE POP,15.0,0.0,18.6,5580.0,0.0,0.0,1080.0
2019-01-07 14:31:57,2019-01-07,PG1812210502,NORMA MARTINEZ,RECURRENTE,HM PUBLICIDAD,2000.0,BOLSAS,9.4,0.0,11.75,23500.0,0.0,0.0,4700.0
2019-01-08 12:19:36,2019-01-08,PG1901080303,NORMA MARTINEZ,RECURRENTE,ORTO PROMOS,51.0,LIBRETAS ECOLOGICAS,45.97,0.0,60.72,3096.72,0.0,0.0,752.25
2019-01-10 14:25:26,2019-01-10,PG1901100201,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,160.0,IDENTIFICADOR,5.69,0.0,10.4,1664.0,0.0,0.0,753.6
2019-01-10 14:25:26,2019-01-10,PG1901100201,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,170.0,BOLIGRAFO ROJO,1.84,0.0,5.43,923.1,0.0,150.0,460.3
2019-01-11 18:48:58,2019-01-11,PG1901090402,NORMA MARTINEZ,RECURRENTE,GRUPO IMR,3500.0,PELOTA ANTIESTRES,5.62,0.0,7.0,24500.0,0.0,0.0,4830.0
