articulo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
cilindro,0.11746614411794518,0.017668236759333295,-0.04467897340614066,0.022586321267718465,-0.068147757185213,-0.025949715421489432,-0.09014329072655061,-0.01944587392384664,-0.030221580889298362,-0.027441935912509367,-0.028590858047047925,0.016726656552829663
cuchara,0.08217320302059677,0.03497465565014668,0.03348458848103969,0.014948991549026902,0.010309339984760413,0.012481726927293824,0.0036823478556237688,0.03353703583564252,0.019688593029780627,-0.0031081260766568086,0.003145999866678323,-0.22479165551233365
porta,0.08202948636914462,-0.042483137140510455,-0.09396937973717985,-0.10962060304248838,-0.02006302434466639,0.06380481534677554,-0.049173852912270805,-0.024825173388707683,-0.06800762367999377,-0.03890585667101164,0.01523245293396687,0.0770287079584044
encendedor,0.08053502320205573,-0.08413554797732023,-0.11931247468274703,0.05578148020753289,0.0524654792980979,-0.0991486501681669,0.06484598773536601,-0.020598873343073976,0.05285079140844328,0.07088008752899147,-0.02696599434216438,0.0680657652924189
banderines,0.07755583549622702,0.05559880561375466,-0.24229197060471563,0.04151332792910597,0.04083615885531554,0.039653630401042805,0.035285228245273,0.03659366390298574,0.03188781645069655,0.04301537340873761,0.01989770844833789,0.05098490357342167
pastillero,0.07640609338054241,-0.050958544501050834,-0.11143242654023648,0.06747114305455809,0.02204436589786514,0.10340755213572109,-0.02628137925408043,0.014890702618159432,-0.10464945549336446,-0.0715734632917668,-0.012412165360089294,0.05228898533016886
espejo,0.071901628333746,-0.1966406823914849,-0.05186249752771532,0.04287474409958864,0.030338274082629638,0.05538204771088075,0.035369424244361264,0.044716601321085465,-0.01180296403772937,-0.024096588830634993,0.0374861344915602,0.05460650520805886
vaso,0.06698925884860482,-0.0036914414644079255,-0.07238106887504743,-0.003728996520809054,-0.1181571859539079,0.045309000102498685,-0.03082289209486902,-0.0081601175668915,-0.10709558347702103,0.04534476674010931,-0.1066373496931044,-0.015762655691226257
playera,0.06481500050462219,0.031676254783665675,0.07291765336481218,-0.03422769812381665,-0.043559561460145946,-0.018057103044738204,0.04859667688240371,-0.05285238930480532,-0.05029445267562013,-0.0345542255166944,0.020332048705806766,-0.19973392857408845
tarjeta,0.06144556822537817,-0.09761062873725827,-0.015880158415222223,-0.15524513109121427,-0.03858662452323104,-0.03431717123772304,0.029423217490798556,0.00436306993910672,0.0032319743847682575,-0.013224702350247128,0.028223515783942887,0.050619056704827144
cinta,0.06043857305038814,-0.06282391547633714,-0.00909854418198669,0.03814987549789664,0.045466523745187046,-0.10779283201580567,-0.11732256579571274,0.05291799287968818,0.042787142407360375,0.08480933732517253,0.04681085671114985,0.042133626732017364
maleta,0.05903730513802228,-0.013866280257904463,-0.013040362979198611,0.039990921641976325,-0.08192518615468572,-0.0446643565447198,-0.0389818981761343,0.00190024650988007,-0.16371123899746756,0.06765382306400625,0.000798206407452328,-0.06636816649660038
crayones,0.05555392578758567,0.031050495506633552,0.030227827163235965,-0.14320994947407306,0.02281488607592523,0.00281631262925508,0.00013467534467970221,0.028132582241977927,0.012344422996809351,-0.0012214068892912322,0.010876843023427271,-0.16803701992848677
camisa,0.054546680548752786,-0.10001659810078842,0.03313656652877891,0.016905057878656933,0.01013888017985512,0.026204885060606746,0.007259495862207588,-0.0783413886582763,-0.1356309187965717,0.003859664972341789,0.011209942888483572,-0.08810033350781947
navaja,0.051776906049723986,0.019340506389259216,0.02504497663512731,0.015260395423410747,0.01835788899699725,0.03238172535307343,0.011451113583117775,0.027437733396683595,-0.12326248848844495,-0.04661130577521483,-0.03251546221325477,-0.17165503207687555
popsocket,0.04949123846765195,-0.035422627128320346,-0.032656986807380564,0.0405585491345561,0.04640162212548503,-0.08349355255581727,0.07838990462875042,0.04049496638652313,-0.07040025784095269,-0.10435128165746446,0.0730935699850525,0.040246582186456034
funda,0.04612653508468069,0.041301806146174735,0.05551240487975188,0.009066545909093377,-0.17409288018506786,-0.06626714248256799,0.07921382364054838,-0.06651988491616545,0.012004408098423673,-0.06819675918617268,0.02520734847818385,-0.03183367278377371
cuaderno,0.04232011904873302,0.04494923863372189,0.03468191419435841,0.01894441730175299,0.02576269483849767,-0.20179940058403423,0.04211836912568635,0.026102245881152564,0.041857689319949674,0.04950515931965388,-0.02171596603218838,-0.09439311320707325
careta,0.04122610167205049,-0.2245433134274489,0.0378501484364879,0.02338388935067528,0.009060175369970346,0.02837049112075762,0.011301750201489168,0.027817276294630617,0.007095699911465223,0.003844071267177937,0.017413991830464392,0.034726313565261915
cable,0.03971609384920444,0.04643942319101186,-0.018711222716423857,0.05162372590047278,0.06742813001062929,-0.028600008482649736,-0.02789384139404811,0.039688148947007534,0.06549265957128558,-0.08132094231484671,-0.07619728282698614,0.019023771451295024
taza,0.0387791364535454,-0.03702632421957545,-0.017498837709550727,0.02114491850846427,0.030139794192476012,0.06975200504550536,-0.0665634374560149,-0.026083864798866076,-0.14149024322996823,-0.028963587748105278,-0.10399114960142047,-0.01323006582145049
hielera,0.037175663661906826,0.11910970686512537,-0.16430978174537503,0.00827287286109071,-0.04382476524266086,-0.061390101052577147,0.11374868913679648,-0.031075275872201692,-0.05223018490520479,0.03887063040705015,-0.023990100753983258,0.0027154895103281562
alcancías,0.03700120597452188,0.08550710200538361,0.04078149700044936,-0.05742429589578655,-0.02455056691630437,0.0014727686658990713,-0.11228102219944691,0.08860090363997285,0.06485924732081227,-0.045183158874741974,0.013109815546552777,-0.054298548304974444
mouse_pad,0.03626935155929566,-0.07772002994524499,0.0980736238365448,0.06694115102056211,0.001149772457230691,-0.1158232706643697,-0.038894193537933025,0.04085102199137905,0.01964707178484218,-0.04890381612448517,0.06709615913930861,0.02543294794466209
dominós,0.03599673807073959,-0.13795697267935175,0.04682221457644055,0.04052105686254274,-0.05299709178251033,-0.13452785512349824,0.04772674398605823,0.03241538613164992,0.03787024473560974,0.055075176466843394,-0.03265994763466859,0.0331185222932786
tarro,0.03423202961003857,0.038790638412968786,-0.11579261504838119,-0.0970537260490945,-0.016813248959491253,0.050511759266124674,0.04604814649443921,0.030774655095572506,-0.02874803417910831,-0.025042534633262746,-0.097036228665309,0.021991962746477328
