creado,fecha,proyecto,vendedor,tipo_de_cliente,cliente,cantidad,articulo,costo,impresión,precio,total,mermas,paqueteria_o_gasto_extra,utilidad_real
2018-11-23 12:08:19,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,200.0,BOLIGRAFOS MO,2.96,0.55,4.39,878.0,2.0,0.0,170.08
2018-11-23 12:08:19,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,200.0,BOLIGRAFOS RO,2.96,0.55,4.39,878.0,2.0,0.0,170.08
2018-11-23 12:11:49,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,100.0,BOLIGRAFO R,2.96,0.55,4.39,439.0,2.0,0.0,82.08
2018-11-23 12:11:49,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,100.0,BOLIGRAFOS V,2.96,0.55,4.39,439.0,2.0,0.0,82.08
2018-11-23 12:11:49,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,300.0,GOMAS AM,3.8,0.0,4.8,1440.0,0.0,0.0,300.0
2018-11-23 15:16:51,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,300.0,GOMAS  AZ,3.8,0.0,4.8,1440.0,0.0,0.0,300.0
2018-11-23 15:16:51,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,300.0,GOMAS MO,3.8,0.0,4.8,1440.0,0.0,0.0,300.0
2018-11-23 15:16:51,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,200.0,GOMAS NA,3.8,0.0,4.8,960.0,0.0,0.0,200.0
2018-11-23 15:16:51,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,300.0,GOMAS RO,3.8,0.0,4.8,1440.0,0.0,0.0,300.0
2018-11-23 15:16:51,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,200.0,GOMAS V,3.8,0.0,4.8,960.0,0.0,0.0,200.0
2018-11-23 15:21:31,2018-11-23,PB1811050107,JESSICA OSORIO,RECURRENTE,TURNER,250.0,ANFORA,126.35,1.76,153.73,38432.5,2.0,0.0,6152.3
2018-11-23 15:21:31,2018-11-23,PB1811050107,JESSICA OSORIO,RECURRENTE,TURNER,250.0,POP SOCKET,12.5,4.0,22.77,5692.5,2.0,0.0,1542.5
2018-11-23 15:21:31,2018-11-23,PB1811050107,JESSICA OSORIO,RECURRENTE,TURNER,500.0,USB CN,100.8,0.0,124.99,62495.0,0.0,0.0,12095.0
2018-11-23 15:21:31,2018-11-23,PB1811050107,JESSICA OSORIO,RECURRENTE,TURNER,250.0,USB BLACK,106.5,0.0,135.25,33812.5,0.0,0.0,7187.5
2018-11-23 15:21:31,2018-11-23,PB1811050107,JESSICA OSORIO,RECURRENTE,TURNER,300.0,TAZA MAG,33.07,10.0,55.13,16539.0,2.0,0.0,3551.86
2018-11-30 18:46:01,2018-11-27,PB1811270302,JESSICA OSORIO,RECURRENTE,ALPURA,70.0,BOLIGRAFO,38.25,8.5,56.1,3927.0,1.0,0.0,616.25
2018-11-30 18:40:10,2018-11-22,PB1811210403,JESSICA OSORIO,RECURRENTE,HUITZIPUBLICIDAD,800.0,IDENTIFICADORES,5.62,0.0,6.86,5488.0,0.0,0.0,992.0
2018-11-30 18:42:10,2018-11-22,PB1811210403,JESSICA OSORIO,RECURRENTE,HUITZIPUBLICIDAD,200.0,IDENTIFICADORES,5.62,0.0,6.86,1372.0,0.0,0.0,248.0
